,address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,rand
0,"Avenida Raja Gabaglia, 1583 ",470.0,1,388834.0,1,40, Luxemburgo, Belo Horizonte ,-19.9364152,-43.9533964,0.7828605286327356
1,"Rua Espírito Santo, 1171 ",,1,531803.0,2,45-65, Centro, Belo Horizonte ,-18.8647762,-41.1217768,0.07922084837351784
2,"Rua dos Expedicionários, 1082 ",,5,1343141.0,4,411, Santa Amélia, Belo Horizonte ,-20.2252407,-44.3977797,0.2869030268370527
3,"Rua Marechal Hermes, 81 ",750.0,4,1872765.0,4,158, Gutierrez, Belo Horizonte ,-19.9371552,-43.9586943,0.7783942926689433
4,"Rua Juruna, 110 ",,6,639162.0,3,278, Pindorama, Belo Horizonte ,-19.9129822,-44.0199442,0.6211185424054382
5,"Rua Maria Pereira de Araújo, 15 ",500.0,1,515691.0,3,87, Castelo, Belo Horizonte ,-19.8861475,-44.0042361,0.4598052773938761
6,"Rua Espírito Santo, 1580 ",,2,1012658.0,2,60-71, Centro, Belo Horizonte ,-18.8647762,-41.1217768,0.7512066177588155
7,"Rua Matipó, 455 ",750.0,2,635718.0,4,153, Santo Antônio, Belo Horizonte ,-19.9473515,-43.9434703,0.5606155273905248
8,"Rua Pitangui, 000 ",,2,990148.0,3,200, Sagrada Família, Belo Horizonte ,-19.9023386,-43.9420716,0.12525695263189685
9,"Avenida dos Bandeirantes, 76 ",2400.0,3,3001991.0,4,570, Sion, Belo Horizonte ,-19.9572301,-43.9319731,0.7725152425839892
10,"Avenida Bias Fortes, 1603 ",480.0,1,370972.0,2,74, Lourdes, Belo Horizonte ,-19.9320955,-43.9393472,0.9668547168990342
11,"Rua Maestro Delê Andrade, 231 ",350.0,1,363719.0,3,72, Santa Efigênia, Belo Horizonte ,-19.9242017,-43.9131071,0.6951330118797059
12,"Rua Bom Despacho, 356 ",,3,1101239.0,5,250, Santa Tereza, Belo Horizonte ,-19.8738542,-44.0049198,0.29475929770990905
13,"Rua Curitiba, 1677 ",,2-3,989236.0,2,62-65, Lourdes, Belo Horizonte ,-19.9122312,-43.9396634,0.9762216177675584
14,"Rua Alvarenga Peixoto, 711 ",1092.0,3,1160031.0,3,102, Lourdes, Belo Horizonte ,-19.929576,-43.9494157,0.29533530254855866
15,Rua Carlos Schettino ,200.0,1,210873.0,2,52, Nova Gameleira, Belo Horizonte ,-19.9427423,-43.9951065,0.7151615048477779
16,"Rua Barão de Cocais, 397 ",380000.0,2,879428.0,4,160, Sagrada Família, Belo Horizonte ,-19.9093193,-43.9220712,0.7257040055031763
17,"Rua João Calvino, 150 ",,3,889414.0,3,215, São João Batista, Belo Horizonte ,-19.8179098,-43.9705903,0.11767580090607799
18,Rua Araraquara ,504.0,2,632551.0,3,82, Nova Suíssa, Belo Horizonte ,-19.9343061,-43.9775176,0.29555775859992806
19,"Rua Augusto José de Araújo, 217 ",,1,434920.0,2,90, São Gabriel, Belo Horizonte ,-19.8554481,-43.9186394,0.2966142851277749
20,"Rua Cecília Fonseca Coutinho, 480 ",250.0,1,313362.0,2,54, Castelo, Belo Horizonte ,-19.8888222,-43.995234,0.19150078498547662
21,"Rua João Antônio Cardoso, 128 ",366.0,--,586934.0,4,127, Ouro Preto, Belo Horizonte ,-19.8753366,-43.9827445,0.8572444836495934
